"Room Count,Price,Area (m2),Building Age"
"2+1,14500,90,18"
"2+1,20000,90,8"
"2+1,17000,85,0"
"2+1,19000,95,8"
"2+1,13000,110,13"
"3+1,18000,135,7"
"2+1,12500,100,4"
"2+1,15500,83,8"
"2+1,16000,95,9"
"1+1,13000,70,4"
"6+2,41000,350,13"
"2+1,15000,100,0"
"3+1,16000,110,0"
"2+1,14500,90,7"
"2+1,12500,80,8"
"2+1,17000,70,3"
"2+1,15000,60,3"
"2+1,12000,75,6"
"4+1,58000,260,7"
"3+2,25000,150,7"
"2+2,25000,130,0"
"5+2,48000,350,9"
"2+1,11000,90,8"
"2+1,21000,85,0"
"3+1,15500,125,26"
"2+1,18000,80,9"
"2+1,18000,90,0"
"2+1,15000,75,18"
"4+1,18500,140,7"
"3+1,14500,150,27"
"1+1,8750,65,8"
"2+1,13000,90,0"
"2+1,18500,105,0"
"1+1,13000,75,0"
"2+1,24000,105,4"
"2+1,25000,90,4"
"2+1,15000,85,9"
"1+1,12000,70,19"
"1+1,15000,70,4"
"2+1,13000,75,7"
"1+1,13000,75,6"
"3+2,15000,145,4"
"2+1,19000,95,8"
"1+1,12000,80,8"
"2+1,15000,105,14"
"3+1,26000,120,29"
"3+1,28000,160,13"
"1+1,10000,70,4"
"2+0,25000,80,0"
"2+1,45000,80,7"
"2+1,19000,85,4"
"3+1,20000,135,14"
"2+1,10000,95,14"
"2+1,16000,95,7"
"1+1,14500,70,2"
"2+1,20000,110,3"
"2+1,16000,110,13"
"2+1,17000,110,6"
"3+1,18500,110,9"
"3+2,18000,135,3"
"2+1,16000,90,8"
"2+1,13000,90,4"
"2+1,15000,75,14"
"2+1,13000,90,8"
"2+1,12500,85,15"
"4+2,25000,250,0"
"3+1,14500,130,15"
"2+1,8000,91,8"
"2+1,14000,75,18"
"2+1,15000,90,4"
"2+1,13000,85,9"
"4+1,15000,160,9"
"2+1,15000,75,14"
"4+2,45000,320,9"
"2+1,13000,120,8"
"3+1,14000,130,6"
"2+1,17250,100,0"
"2+1,14000,90,2"
"3+1,7000,115,32"
"1+1,13000,80,14"
"2+1,16500,85,10"
"2+1,14500,84,10"
"2+1,17000,100,0"
"1+1,16500,80,9"
"3+1,14000,160,8"
"5+2,125000,320,17"
"2+1,18000,85,0"
"2+1,21000,120,15"
"4+2,25000,210,0"
"2+1,18500,85,8"
"2+1,13000,90,8"
"2+1,15000,100,4"
"2+1,12000,100,14"
"4+2,23950,200,0"
"6+2,120000,420,7"
"2+1,18000,95,4"
"2+1,20000,90,8"
"3+1,30000,125,14"
"2+1,16000,140,12"
"1+1,9000,75,4"
"2+1,12000,100,8"
"2+1,11000,80,9"
"1+1,18000,85,3"
"3+1,17000,100,4"
"2+1,21000,90,8"
"2+1,21000,95,4"
"1+1,15000,76,0"
"1+1,15000,85,0"
"9+1,65000,400,34"
"2+1,20000,105,0"
"2+1,19000,115,9"
"4+2,45000,250,4"
"1+1,12000,70,3"
"2+1,12500,90,4"
"3+1,20000,140,14"
"2+1,18000,100,0"
"1+1,12000,70,3"
"4+2,25000,200,0"
"2+1,20000,110,4"
"2+1,23000,100,10"
"2+0,15000,260,0"
"2+1,18000,95,0"
"2+1,15000,80,0"
"2+1,20000,90,8"
"2+1,15000,70,0"
"2+1,15000,90,0"
"2+1,14000,90,9"
"4+1,23000,150,9"
"2+1,10000,95,28"
"2+1,10000,95,1"
"2+1,35000,100,8"
"2+1,25000,75,13"
"2+1,15000,91,14"
"2+1,15000,80,4"
"3+1,21500,110,0"
"1+1,10500,70,4"
"2+1,20000,90,0"
"3+1,25000,198,9"
"6+1,80000,310,9"
"5+1,43000,245,3"
"4+1,35000,259,3"
"3+1,25000,211,3"
"2+1,16000,90,10"
"2+1,10000,100,8"
"2+1,12000,120,7"
"2+1,13000,80,8"
"2+1,19000,80,4"
"2+1,20000,80,4"
"2+1,13500,90,9"
"2+1,10000,90,38"
"2+1,23500,90,2"
"2+1,25000,90,0"
"4+2,35000,210,0"
"2+1,18500,100,2"
"2+1,9000,95,9"
"2+1,16000,70,3"
"2+1,15000,80,3"
"2+1,17500,100,3"
"2+1,13500,90,2"
"2+1,16500,80,0"
"4+2,30000,200,10"
"4+2,26000,240,14"
"2+1,17000,90,6"
"3+1,60000,180,2"
"3+1,60000,180,8"
"2+1,16000,100,8"
"2+1,16000,130,18"
"2+1,10000,135,13"
"2+1,18000,100,7"
"1+1,9000,80,17"
"3+1,16000,100,14"
"2+1,15000,140,14"
"2+1,13000,90,7"
"3+1,16000,130,7"
"2+1,14000,100,15"
"3+1,35000,115,1"
"2+1,16000,80,2"
"2+1,15000,140,15"
"1+1,15000,60,10"
"2+1,27000,75,15"
"2+1,17000,90,0"
"2+1,15000,80,2"
"2+1,12000,100,7"
"1+1,12000,70,3"
"2+1,18000,100,0"
"4+1,50000,225,9"
"2+1,25000,110,9"
"2+1,16000,100,14"
"3+1,12000,110,13"
"3+1,18000,160,6"
"2+1,18000,90,17"
"1+1,10000,60,6"
"3+1,16000,130,1"
"2+1,14000,85,9"
"2+1,20000,90,6"
"3+1,22000,130,11"
"2+1,25000,90,12"
"2+1,18000,90,0"
"2+1,8000,100,6"
"2+1,14000,90,3"
"3+1,20000,180,0"
"2+1,13000,120,4"
"3+1,14000,125,4"
"1+1,10000,50,15"
"2+1,13000,100,3"
"4+1,23500,170,0"
